symbol,name,exchange,sector,industry_group,prototype_score,market_cap_bucket,region,risk_bucket,style_factors,dividend_profile,ipo_year,evidence
"ORCL","Oracle Corporation","NYSE","Technology","Software","0.7","Mega","US","Medium Volatility","Value","Growing","1986","Enterprise software and cloud; NYSE listing."
"SAP","SAP SE","NYSE","Technology","Software","0.68","Large","EU","Medium Volatility","Growth","Stable","1988","Enterprise software; NYSE ADR."
"ASML","ASML Holding N.V.","NASDAQ","Technology","Semiconductors","0.91","Mega","EU","Medium Volatility","Growth","Moderate","1995","EUV lithography monopoly; NASDAQ listing."
"TSM","Taiwan Semiconductor Manufacturing Company Limited","NYSE","Technology","Semiconductors","0.93","Mega","APAC","Medium Volatility","Growth","Stable","1997","Pure-play foundry; NYSE ADR."
"BABA","Alibaba Group Holding Limited","NYSE","Consumer Discretionary","Internet Retail","0.7","Mega","APAC","High Volatility","Growth","None","2014","E-commerce and cloud; NYSE ADR."
"TCEHY","Tencent Holdings Ltd.","OTC","Communication Services","Interactive Media","0.72","Mega","APAC","High Volatility","Growth","Low","2004","Social, gaming, fintech; OTC ADR."
"NIO","NIO Inc.","NYSE","Consumer Discretionary","Automobiles","0.5","Mid","APAC","High Volatility","Momentum","None","2018","EV manufacturer; NYSE ADR."
"BYDDY","BYD Company Limited","OTC","Consumer Discretionary","Automobiles","0.55","Large","APAC","High Volatility","Growth","Low","2002","EVs and batteries; OTC ADR."
"SAP.DE","SAP SE (XETRA)","XETRA","Technology","Software","0.68","Large","EU","Medium Volatility","Growth","Stable","1988","Enterprise software; XETRA."
"MC.PA","LVMH Moët Hennessy Louis Vuitton","EURONEXT","Consumer Discretionary","Luxury Goods","0.7","Mega","EU","Medium Volatility","Growth","Growing","1987","Luxury conglomerate; Euronext."
"OR.PA","L'Oréal S.A.","EURONEXT","Consumer Staples","Personal Products","0.66","Mega","EU","Low Volatility","Growth","Stable","1963","Beauty products; Euronext."
"NESN.SW","Nestlé S.A.","SIX","Consumer Staples","Packaged Foods","0.68","Mega","EU","Low Volatility","Value","Stable","1905","Food & beverage; SIX."
"ROG.SW","Roche Holding AG","SIX","Health Care","Biotechnology","0.62","Mega","EU","Low Volatility","Value","Stable","1995","Biotech/pharma; SIX."
"NOVN.SW","Novartis AG","SIX","Health Care","Pharmaceuticals","0.62","Mega","EU","Low Volatility","Value","Stable","1996","Pharma major; SIX."
"RIO","Rio Tinto Group","NYSE","Materials","Metals & Mining","0.6","Large","EU","Medium Volatility","Value","Stable","1962","Diversified mining; NYSE ADR."
"BHP","BHP Group Limited","NYSE","Materials","Metals & Mining","0.6","Large","APAC","Medium Volatility","Value","Stable","2001","Mining major; NYSE ADR."
"SHEL","Shell plc","NYSE","Energy","Integrated Oil & Gas","0.65","Mega","EU","Medium Volatility","Value","Stable","2005","Energy major; NYSE ADR."
"BP","BP p.l.c.","NYSE","Energy","Integrated Oil & Gas","0.64","Large","EU","Medium Volatility","Value","Stable","1909","Energy major; NYSE ADR."
"TOT","TotalEnergies SE","NYSE","Energy","Integrated Oil & Gas","0.65","Large","EU","Medium Volatility","Value","Stable","1991","Energy major; NYSE ADR."
"SIE.DE","Siemens AG","XETRA","Industrials","Industrial Conglomerates","0.62","Large","EU","Medium Volatility","Value","Stable","1986","Industrial conglomerate; XETRA."
"VOW3.DE","Volkswagen AG","XETRA","Consumer Discretionary","Automobiles","0.55","Large","EU","High Volatility","Value","Stable","1960","Auto OEM; XETRA."
"BMW.DE","Bayerische Motoren Werke AG","XETRA","Consumer Discretionary","Automobiles","0.55","Large","EU","Medium Volatility","Value","Stable","1969","Auto OEM; XETRA."
"AIR.PA","Airbus SE","EURONEXT","Industrials","Aerospace & Defense","0.6","Large","EU","Medium Volatility","Growth","Low","2000","Aerospace OEM; Euronext."
"SAN","Banco Santander, S.A.","NYSE","Financials","Banks","0.48","Large","EU","Medium Volatility","Value","Moderate","1988","Spanish bank; NYSE ADR."
"ING","ING Groep N.V.","NYSE","Financials","Banks","0.5","Large","EU","Medium Volatility","Value","Moderate","1994","Dutch bank; NYSE."
"UBS","UBS Group AG","NYSE","Financials","Banks","0.52","Large","EU","Medium Volatility","Value","Moderate","1988","Swiss bank; NYSE."
"HSBC","HSBC Holdings plc","NYSE","Financials","Banks","0.6","Large","EU","Medium Volatility","Value","Stable","1991","Global bank; NYSE listing."
"AZN","AstraZeneca PLC","NASDAQ","Health Care","Pharmaceuticals","0.64","Large","EU","Medium Volatility","Growth","Stable","1993","Pharma major; NASDAQ listing."
"GSK","GSK plc","NYSE","Health Care","Pharmaceuticals","0.6","Large","EU","Medium Volatility","Value","Stable","2000","Pharma major; NYSE ADR."
"SAP.ST","Svenska Handelsbanken AB","STO","Financials","Banks","0.48","Mid","EU","Medium Volatility","Value","Moderate","1871","Swedish bank; STO."
"SHOP","Shopify Inc.","NYSE","Technology","Software","0.6","Large","Americas","High Volatility","Growth","None","2015","E-commerce platform; NYSE listing."
"TD","The Toronto-Dominion Bank","NYSE","Financials","Banks","0.6","Large","Americas","Low Volatility","Value","Stable","1996","Canadian bank; NYSE."
"RY","Royal Bank of Canada","NYSE","Financials","Banks","0.6","Large","Americas","Low Volatility","Value","Stable","1995","Canadian bank; NYSE."
"BMO","Bank of Montreal","NYSE","Financials","Banks","0.55","Large","Americas","Low Volatility","Value","Stable","1994","Canadian bank; NYSE."
"ENB","Enbridge Inc.","NYSE","Energy","Pipelines","0.56","Large","Americas","Medium Volatility","Value","High","1953","Energy infrastructure; NYSE."
"CNQ","Canadian Natural Resources Limited","NYSE","Energy","Oil & Gas Exploration","0.54","Large","Americas","High Volatility","Value","Moderate","1985","Canadian E&P; NYSE."
"SU","Suncor Energy Inc.","NYSE","Energy","Integrated Oil & Gas","0.55","Large","Americas","High Volatility","Value","Moderate","1992","Oil sands; NYSE."
"MELI","MercadoLibre, Inc.","NASDAQ","Consumer Discretionary","Internet Retail","0.64","Large","Americas","High Volatility","Growth|Momentum","None","2007","E-commerce & fintech LATAM; NASDAQ listing."
"ITUB","Itaú Unibanco Holding S.A.","NYSE","Financials","Banks","0.52","Large","Americas","Medium Volatility","Value","Moderate","2002","Brazilian bank; NYSE ADR."
"VALE","Vale S.A.","NYSE","Materials","Metals & Mining","0.6","Large","Americas","High Volatility","Value","High","2000","Iron ore miner; NYSE ADR."
"PBR","Petróleo Brasileiro S.A. - Petrobras","NYSE","Energy","Integrated Oil & Gas","0.55","Large","Americas","High Volatility","Value","High","2000","Brazilian oil major; NYSE ADR."
"HDFCBANK.NS","HDFC Bank Limited","NSE","Financials","Banks","0.6","Large","APAC","Medium Volatility","Growth","Moderate","1995","Indian bank; NSE."
"RELIANCE.NS","Reliance Industries Limited","NSE","Energy","Integrated Oil & Gas","0.62","Large","APAC","Medium Volatility","Value","Low","1977","Energy/retail/telecom conglomerate; NSE."
"TCS.NS","Tata Consultancy Services Limited","NSE","Technology","IT Services","0.6","Large","APAC","Medium Volatility","Value","Moderate","2004","IT services; NSE."
"INFY","Infosys Limited","NYSE","Technology","IT Services","0.58","Large","APAC","Medium Volatility","Growth","Moderate","1999","IT services; NYSE ADR."
"005930.KS","Samsung Electronics Co., Ltd.","KSE","Technology","Semiconductors","0.75","Mega","APAC","Medium Volatility","Growth","Moderate","1975","Semis and devices; KSE."
"000660.KS","SK hynix Inc.","KSE","Technology","Semiconductors","0.63","Large","APAC","High Volatility","Growth","Low","1996","Memory semis; KSE."
"7203.T","Toyota Motor Corporation","TSE","Consumer Discretionary","Automobiles","0.6","Mega","APAC","Medium Volatility","Value","Stable","1949","Auto OEM; TSE."
"6758.T","Sony Group Corporation","TSE","Communication Services","Entertainment/Hardware","0.6","Large","APAC","Medium Volatility","Growth","Low","1958","Electronics and entertainment; TSE."
"9984.T","SoftBank Group Corp.","TSE","Communication Services","Telecom/Investments","0.55","Large","APAC","High Volatility","Momentum","Low","1994","Telecom/investments; TSE."
"0700.HK","Tencent Holdings Ltd.","HKEX","Communication Services","Interactive Media","0.72","Mega","APAC","High Volatility","Growth","Low","2004","Social, gaming, fintech; HKEX."
"9999.HK","NetEase, Inc.","HKEX","Communication Services","Interactive Media","0.6","Large","APAC","High Volatility","Growth","Low","2000","Gaming and media; HKEX."
"1810.HK","Xiaomi Corporation","HKEX","Technology","Consumer Electronics","0.55","Large","APAC","High Volatility","Momentum","None","2018","Smartphones and IoT; HKEX."
"3690.HK","Meituan","HKEX","Consumer Discretionary","Internet Retail/Services","0.58","Large","APAC","High Volatility","Growth","None","2018","Local services platform; HKEX."
"601318.SS","Ping An Insurance (Group) Company of China, Ltd.","SSE","Financials","Insurance","0.6","Large","APAC","Medium Volatility","Value","Stable","2007","Insurance and financial services; SSE."
"600519.SS","Kweichow Moutai Co., Ltd.","SSE","Consumer Staples","Beverages","0.65","Large","APAC","Medium Volatility","Value","Stable","2001","Spirits producer; SSE."
"300750.SZ","Contemporary Amperex Technology Co., Limited","SZSE","Industrials","Electrical Components/Batteries","0.6","Large","APAC","High Volatility","Growth","Low","2018","EV batteries; SZSE."
"ULVR.L","Unilever PLC (LON)","LSE","Consumer Staples","Household Products","0.62","Large","EU","Low Volatility","Value","Stable","1988","Consumer staples; LSE."
"HSBA.L","HSBC Holdings plc","LSE","Financials","Banks","0.6","Large","EU","Medium Volatility","Value","Stable","1991","HSBC London listing; LSE."
"BATS.L","British American Tobacco p.l.c.","LSE","Consumer Staples","Tobacco","0.58","Large","EU","Medium Volatility","Value","Stable","1985","Tobacco major; LSE."
"RDSB.L","Shell plc (LON)","LSE","Energy","Integrated Oil & Gas","0.64","Large","EU","Medium Volatility","Value","Stable","2005","Shell B shares; LSE."
"DGE.L","Diageo plc","LSE","Consumer Staples","Beverages","0.62","Large","EU","Low Volatility","Value","Stable","1997","Spirits/beverages; LSE."
"ADS.DE","adidas AG","XETRA","Consumer Discretionary","Apparel & Footwear","0.58","Large","EU","Medium Volatility","Value","Low","1995","Athletic apparel; XETRA."
"DTE.DE","Deutsche Telekom AG","XETRA","Communication Services","Telecom Services","0.56","Large","EU","Medium Volatility","Value","Stable","1996","Telecom operator; XETRA."
"IFX.DE","Infineon Technologies AG","XETRA","Technology","Semiconductors","0.6","Large","EU","Medium Volatility","Growth","Low","2000","Semiconductors; XETRA."
"SPGI","S&P Global Inc.","NYSE","Financials","Capital Markets","0.68","Large","US","Low Volatility","Growth","Growing","1929","Ratings, indices, data; NYSE listing."
"ICE","Intercontinental Exchange, Inc.","NYSE","Financials","Capital Markets","0.62","Large","US","Medium Volatility","Growth","Moderate","2005","Exchanges and data; NYSE listing."
"CME","CME Group Inc.","NASDAQ","Financials","Capital Markets","0.62","Large","US","Low Volatility","Value","Stable","2002","Derivatives exchange; NASDAQ listing."
"BLK","BlackRock, Inc.","NYSE","Financials","Asset Management","0.68","Large","US","Medium Volatility","Value","Growing","1999","Asset manager; NYSE listing."
"BX","Blackstone Inc.","NYSE","Financials","Asset Management","0.6","Large","US","Medium Volatility","Value","High","2007","Alternative asset manager; NYSE listing."
"KKR","KKR & Co. Inc.","NYSE","Financials","Asset Management","0.56","Large","US","High Volatility","Value","Moderate","2010","Private equity; NYSE listing."
"APO","Apollo Global Management, Inc.","NYSE","Financials","Asset Management","0.56","Large","US","High Volatility","Value","High","2011","Alt asset manager; NYSE listing."
"CI","The Cigna Group","NYSE","Health Care","Managed Care","0.62","Large","US","Medium Volatility","Value","Moderate","1982","Managed care; NYSE listing."
"ELV","Elevance Health, Inc.","NYSE","Health Care","Managed Care","0.62","Large","US","Medium Volatility","Value","Moderate","2001","Managed care; NYSE listing."
"HUM","Humana Inc.","NYSE","Health Care","Managed Care","0.64","Large","US","Medium Volatility","Growth","Low","1968","Managed care; NYSE listing."
"CVS","CVS Health Corporation","NYSE","Health Care","Health Care Services","0.58","Large","US","Medium Volatility","Value","Stable","1963","Pharmacy and PBM; NYSE listing."
"PFE","Pfizer Inc.","NYSE","Health Care","Pharmaceuticals","0.6","Mega","US","Medium Volatility","Value","Stable","1944","Pharma major; NYSE listing."
"LLY","Eli Lilly and Company","NYSE","Health Care","Pharmaceuticals","0.75","Mega","US","Medium Volatility","Growth","Growing","1952","Pharma innovator; NYSE listing."
"ABBV","AbbVie Inc.","NYSE","Health Care","Pharmaceuticals","0.65","Mega","US","Medium Volatility","Value","Stable","2013","Pharma spin-out; NYSE listing."
"BA","The Boeing Company","NYSE","Industrials","Aerospace & Defense","0.6","Large","US","High Volatility","Value","None","1962","Aerospace manufacturing; NYSE listing."
"LMT","Lockheed Martin Corporation","NYSE","Industrials","Aerospace & Defense","0.68","Large","US","Low Volatility","Value","Stable","1961","Defense contractor; NYSE listing."
"CAT","Caterpillar Inc.","NYSE","Industrials","Machinery","0.65","Large","US","Medium Volatility","Value","Stable","1929","Heavy machinery; NYSE listing."
"DE","Deere & Company","NYSE","Industrials","Machinery","0.66","Large","US","Medium Volatility","Value","Stable","1928","Agricultural machinery; NYSE listing."
"UPS","United Parcel Service, Inc.","NYSE","Industrials","Logistics","0.6","Large","US","Low Volatility","Value","Stable","1999","Logistics; NYSE listing."
"FDX","FedEx Corporation","NYSE","Industrials","Logistics","0.55","Large","US","Medium Volatility","Value","Low","1978","Logistics; NYSE listing."
"EQIX","Equinix, Inc.","NASDAQ","Real Estate","REITs","0.6","Large","US","Medium Volatility","Growth","High","2000","Data centers; NASDAQ."
"AMT","American Tower Corporation","NYSE","Real Estate","REITs","0.6","Large","US","Medium Volatility","Growth","High","1998","Cell towers; NYSE."
"PLD","Prologis, Inc.","NYSE","Real Estate","REITs","0.6","Large","US","Low Volatility","Value","High","1997","Logistics REIT; NYSE."
"PSA","Public Storage","NYSE","Real Estate","REITs","0.58","Large","US","Low Volatility","Value","High","1995","Self-storage REIT; NYSE."
"^SPY","SPDR S&P 500 ETF Trust","NYSEARCA","ETF","Index ETF",,,"US","Medium Volatility","","Payer","1993","ETF placeholder for testing."
"^QQQ","Invesco QQQ Trust","NASDAQ","ETF","Index ETF",,,"US","Medium Volatility","","Payer","1999","ETF placeholder for testing."
